City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Ribeira Grande,PT,38.52,-28.7,61.92,66,58,8.61,broken clouds
84,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,48.2,70,60,17.9,broken clouds
85,Mitsamiouli,KM,-11.38,43.28,76.6,76,7,10.69,clear sky
86,Sfantu Gheorghe,RO,45.87,25.78,45.0,85,100,1.95,overcast clouds
87,Greensboro,US,36.07,-79.79,48.2,66,1,4.7,clear sky
88,Vila,PT,42.03,-8.16,42.01,85,0,5.99,clear sky
89,Usmajac,MX,19.87,-103.57,77.0,69,20,9.17,few clouds
90,Provideniya,RU,64.38,-173.3,17.31,84,0,5.1,clear sky
91,Upernavik,GL,72.79,-56.15,16.88,95,100,9.78,light snow
92,Pingliang,CN,35.54,106.69,48.52,58,100,1.39,overcast clouds
93,Bengkulu,ID,-3.8,102.27,82.54,68,68,2.8,broken clouds
94,Borovoy,RU,55.43,86.08,26.6,92,90,11.18,overcast clouds
95,Waddan,LY,29.16,16.14,59.61,60,0,8.03,clear sky
96,Burnie,AU,-41.07,145.92,62.01,59,100,13.0,overcast clouds
97,Khvoynaya,RU,58.9,34.53,42.71,93,13,6.98,few clouds
98,Bitung,ID,1.45,125.18,87.8,58,20,2.24,few clouds
99,Inhambane,MZ,-23.86,35.38,71.31,84,0,6.82,clear sky
100,Fortuna,US,40.6,-124.16,55.99,100,90,1.28,overcast clouds
101,Barrow,US,71.29,-156.79,10.4,85,90,10.29,overcast clouds
102,Borogontsy,RU,62.67,131.17,-3.14,89,69,3.13,broken clouds
103,Georgetown,MY,5.41,100.34,80.6,83,20,4.7,light rain
104,Loreto,MX,22.27,-101.97,52.7,62,0,16.96,clear sky
105,Dunedin,NZ,-45.87,170.5,60.01,76,0,18.99,clear sky
106,Butaritari,KI,3.07,172.79,81.54,72,92,15.95,overcast clouds
107,Cabo San Lucas,MX,22.89,-109.91,79.0,83,5,11.41,clear sky
108,Orotukan,RU,62.27,151.7,3.34,92,100,6.33,snow
109,Saint-Francois,FR,46.42,3.91,41.0,93,0,2.24,clear sky
110,Verkhniy Uslon,RU,55.77,48.98,32.0,87,90,6.71,fog
111,Lavrentiya,RU,65.58,-171.0,17.4,86,0,12.71,clear sky
112,Shulan,CN,44.42,126.95,29.98,70,0,13.85,clear sky
113,Mandalay,MM,21.97,96.08,78.8,100,75,3.36,broken clouds
114,Balabac,PH,7.99,117.06,84.06,74,100,10.63,overcast clouds
115,Luwuk,ID,-0.95,122.79,85.14,63,100,3.18,light rain
116,Chaozhou,CN,23.67,116.64,71.6,49,0,6.71,clear sky
117,Smithers,CA,54.78,-127.17,42.8,93,75,3.36,light rain
118,Atuona,PF,-9.8,-139.03,78.26,74,54,20.94,broken clouds
119,Bowen,AU,-20.02,148.23,84.2,45,40,13.87,scattered clouds
120,Norman Wells,CA,65.28,-126.83,-0.4,84,75,2.24,broken clouds
121,Gualaceo,EC,-2.9,-78.78,55.4,43,45,10.29,scattered clouds
122,Tawau,MY,4.25,117.89,84.2,79,20,1.12,few clouds
123,Hami,CN,42.8,93.45,44.87,50,0,6.64,clear sky
124,San Patricio,US,28.02,-97.52,66.99,77,20,6.93,few clouds
125,Buchanan,LR,5.88,-10.05,77.81,90,97,5.95,light rain
126,Tecoanapa,MX,16.52,-98.75,78.55,69,0,4.41,clear sky
127,Buba,GW,11.58,-15.0,76.57,91,1,3.53,clear sky
