City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Romny,UA,2020-11-02 02:05:06,50.75,33.47,45.66,88,57,5.55
61,Kavieng,PG,2020-11-02 02:04:40,-2.57,150.8,86.5,63,10,2.3
62,Iqaluit,CA,2020-11-02 02:05:06,63.75,-68.51,15.8,72,90,3.67
63,Glasgow,GB,2020-11-02 02:00:58,55.87,-4.26,48.2,87,75,13.87
64,Bisira,PA,2020-11-02 02:05:07,8.52,-81.71,59.54,100,100,3.53
65,Tasiilaq,GL,2020-11-02 02:05:07,65.61,-37.64,28.4,74,0,4.7
66,Chernyshevskiy,RU,2020-11-02 02:00:50,63.01,112.47,6.08,91,100,10.33
67,Husavik,IS,2020-11-02 02:05:08,66.04,-17.34,39.2,51,0,5.82
68,Talnakh,RU,2020-11-02 02:05:08,69.49,88.4,19.4,85,75,6.71
69,Vaini,TO,2020-11-02 02:05:08,-21.2,-175.2,78.8,83,75,10.29
70,Jamestown,US,2020-11-02 02:04:24,42.1,-79.24,35.01,92,90,13.87
71,Ascension,US,2020-11-02 02:05:08,30.22,-90.9,64.4,59,1,6.93
72,Butaritari,KI,2020-11-02 02:05:08,3.07,172.79,82.24,77,66,9.89
73,Vokhtoga,RU,2020-11-02 02:05:09,58.81,41.05,28.31,98,3,3.85
74,Hofn,IS,2020-11-02 02:00:50,64.25,-15.21,36.32,75,0,14.99
75,Kibaya,TZ,2020-11-02 02:05:09,-5.3,36.57,59.5,91,75,6.31
76,Carnarvon,AU,2020-11-02 02:05:09,-24.87,113.63,71.6,56,40,16.11
77,Fortuna,US,2020-11-02 02:05:09,40.6,-124.16,53.01,100,1,1.54
78,Avarua,CK,2020-11-02 02:04:40,-21.21,-159.78,78.8,83,90,14.99
79,Marystown,CA,2020-11-02 02:05:10,47.17,-55.15,45.0,100,96,3.0
80,Malkangiri,IN,2020-11-02 02:05:10,18.35,81.9,73.53,80,0,1.77
81,Batagay-Alyta,RU,2020-11-02 02:01:23,67.8,130.41,-8.01,83,17,1.99
82,Tateyama,JP,2020-11-02 02:02:00,34.98,139.87,68.0,93,75,14.99
83,Hamilton,US,2020-11-02 02:05:11,39.18,-84.53,39.2,44,90,11.41
84,Cape Town,ZA,2020-11-02 02:00:39,-33.93,18.42,62.6,72,0,8.05
85,Avera,US,2020-11-02 02:05:11,33.19,-82.53,59.0,87,1,6.93
86,Bredasdorp,ZA,2020-11-02 02:00:12,-34.53,20.04,64.4,82,100,10.29
87,Souillac,MU,2020-11-02 02:04:51,-20.52,57.52,64.4,100,20,4.7
88,Atuona,PF,2020-11-02 02:01:47,-9.8,-139.03,77.54,78,83,13.38
89,Esperance,AU,2020-11-02 02:04:38,-33.87,121.9,75.2,73,91,12.75
90,Dikson,RU,2020-11-02 02:05:12,73.51,80.55,18.0,98,90,8.41
